instr,TP,LT,ports
lea-r64_mem-,1.0,-1.0,"(-1,)"
lea-r64_mem,1.0,1.0,"(-1,)"
movl-mem_r32,1.0,2.0,"(-1,)"
movl-r32_imd,0.25,1.0,"(-1,)"
movl-r32_mem,0.5,2.0,"(-1,)"
mov-mem_imd,1.0,2.0,"(0, 0,0,0.3333333333333333,0.3333333333333333,1.0,0,0,0.3333333333333333)"
mov-mem_r32,1.0,2.0,"(0, 0,0,0.3333333333333333,0.3333333333333333,1.0,0,0,0.3333333333333333)"
mov-mem_r64,1.0,2.0,"(0, 0,0,0.3333333333333333,0.3333333333333333,1.0,0,0,0.3333333333333333)"
movq_r64_xmm,1.0,-1.0,"(-1,)"
mov-r32_imd,0.25,1.0,"(-1,)"
mov-r32_mem,0.5,2.0,"(0, 0,0,0.5,0.5,0,0,0,0)"
mov-r32_r32,0.25,1.0,"(0.25, 0,0.25,0,0,0,0.25,0.25,0)"
mov-r64_imd,0.25,1.0,"(0.25, 0,0.25,0,0,0,0.25,0.25,0)"
mov_r64_mem,0.5,-1.0,"(-1,)"
mov-r64_mem,0.5,2.0,"(0, 0,0,0.5,0.5,0,0,0,0)"
mov-r64_r64,0.25,1.0,"(0.25, 0,0.25,0,0,0,0.25,0.25,0)"
movsd-mem_xmm,1.0,3.0,"(-1,)"
movsd-xmm_mem,0.5,3.0,"(-1,)"
movslq-r64_r32,0.25,1.0,"(0.25, 0,0.25,0,0,0,0.25,0.25,0)"
movsx-r64_r32,0.25,1.0,"(0.25, 0,0.25,0,0,0,0.25,0.25,0)"
movups-mem_xmm,1.0,3.0,"(-1,)"
movups-xmm_mem,0.5,2.0,"(-1,)"
mulpd-xmm_mem,1.0,4.0,"(-1,)"
mulsd-xmm_mem,1.0,4.0,"(-1,)"
mulsd-xmm_xmm,1.0,4.0,"(-1,)"
prefetcht0-mem,0.5,-1.0,"(-1,)"
prefetchw-mem,1.0,-1.0,"(-1,)"
shl-r64_imd,0.5,1.0,"(0.5, 0,0,0,0,0,0,0.5,0)"
sub-r32_imd,0.25,1.0,"(-1,)"
sub-r64_r64,0.25,1.0,"(0.25, 0,0.25,0,0,0,0.25,0.25,0)"
vaddpd-ymm_ymm_mem,0.5,4.0,"(-1,)"
vaddps-ymm_ymm_ymm,0.5,4.0,"(-1,)"
vaddsd-xmm_xmm_mem,0.5,4.0,"(0.5, 0,0.5,0.5,0.5,0,0,0,0)"
vaddsd-xmm_xmm_xmm,0.5,4.0,"(0.5, 0,0.5,0,0,0,0,0,0)"
vaddss-xmm_xmm_xmm,0.5,4.0,"(-1,)"
vcvtsi2ss-xmm_xmm_r32,1.0,-1.0,"(0.5, 0,0.5,0,0,0,1.0,0,0)"
vcvtss2si-r32_xmm,1.0,-1.0,"(-1,)"
vfmadd132pd-xmm_xmm_mem,0.5,4.0,"(0.5, 0, 0.5, 0.5, 0.5, 0, 0, 0, 0)"
vfmadd132sd-xmm_xmm_mem,0.5,4.0,"(0.5, 0, 0.5, 0.5, 0.5, 0, 0, 0, 0)"
vfmadd213pd-xmm_xmm_xmm,0.5,4.0,"(0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)"
vfmadd213pd-ymm_ymm_mem,0.5,4.0,"(0.5, 0, 0.5, 0.5, 0.5, 0, 0, 0, 0)"
vfmadd132pd-ymm_ymm_mem,0.5,4.0,"(0.5, 0, 0.5, 0.5, 0.5, 0, 0, 0, 0)"
vfmadd213pd-ymm_ymm_ymm,0.5,4.0,"(0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)"
vfmadd213ps-xmm_xmm_xmm,0.5,4.0,"(0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)"
vfmadd213sd,0.5,5.0,"(-1,)"
vfmadd213ss,0.5,5.0,"(-1,)"
vinsertf128-ymm_ymm_imd,1.0,3.0,"(-1,)"
vmovapd-mem_ymm,1.0,-1.0,"(0, 0, 0, 0.5, 0.5, 1.0, 0, 0, 0)"
vmovapd-ymm_mem,0.5,-1.0,"(0, 0, 0, 0.5, 0.5, 0, 0, 0, 0)"
vmovaps-mem_xmm,1.0,3.0,"(0, 0, 0, 0.5, 0.5, 1.0, 0, 0, 0)"
vmovaps-xmm_mem,0.5,2.0,"(0, 0, 0, 0.5, 0.5, 0, 0, 0, 0)"
vmovsd-mem_xmm,1.0,3.0,"(0, 0,0,0.5,0.5,1.0,0,0,0)"
vmovsd-xmm_mem,0.5,3.0,"(0, 0,0,0.5,0.5,0,0,0,0)"
vmovupd-mem_ymm,1.0,3.0,"(0, 0,0,0.5,0.5,1.0,0,0,0)"
vmovupd-ymm_mem,0.5,-1.0,"(-1,)"
vmulpd-ymm_ymm_ymm,0.5,4.0,"(0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)"
vmulps-ymm_ymm_ymm,0.5,4.0,"(0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)"
vmulsd-xmm_xmm_mem,0.5,4.0,"(0.5, 0,0.5,0.5,0.5,0,0,0,0)"
vmulsd-xmm_xmm_xmm,0.5,4.0,"(0.5, 0,0.5,0,0,0,0,0,0)"
vmulss-xmm_xmm_xmm,0.5,4.0,"(-1,)"
vrcpps-avx,1.0,4.0,"(-1,)"
vsqrtpd-avx,12.0,21.0,"(-1,)"
vsqrtps-avx,6.0,16.0,"(-1,)"
vsubpd-ymm_ymm_mem,0.5,4.0,"(-1,)"
vsubsd-xmm_xmm_mem,0.5,4.0,"(-1,)"
vsubsd-xmm_xmm_xmm,0.5,4.0,"(-1,)"
vsubss-xmm_xmm_xmm,0.5,4.0,"(-1,)"
vxorps-xmm_xmm_xmm,0.25,1.0,"(0.25, 0,0.25,0,0,0,0.25,0.25,0)"
xor-r32_r32,0.25,1.0,"(0.25, 0,0.25,0,0,0,0.25,0.25,0)"
cmpl-r32_imd,0.25,1.0,"(0.25, 0, 0.25,0,0,0,0.25,0.25,0)"
vaddpd-xmm_xmm_xmm,0.5,4,"(0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)"
vaddpd-ymm_ymm_ymm,0.5,4,"(0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)"
vcvtdq2pd-xmm_xmm,1.0,5,"(1.0, 0, 0, 0, 0, 0, 1.0, 0, 0)"
vcvtdq2pd-ymm_xmm,1.0,7,"(1.0, 0, 0, 0, 0, 0, 1.0, 0, 0)"
vcvtsi2sd-xmm_xmm_r32,1.0,4,"(0.5, 0, 0.5, 0, 0, 0, 1.0, 0, 0)"
vextracti128-xmm_ymm_imd,1.0,3,"(0, 0, 0, 0, 0, 0, 1.0, 0, 0)"
vfmadd132pd-xmm_xmm_xmm,0.5,4,"(0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)"
vfmadd132pd-ymm_ymm_ymm,0.5,4,"(0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)"
vfmadd132sd-xmm_xmm_xmm,0.5,4,"(0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)"
vmulpd-xmm_xmm_xmm,0.5,4,"(0.5, 0, 0.5, 0, 0, 0, 0, 0, 0)"
vpaddd-xmm_xmm_xmm,0.3333333333333333,1,"(0.33, 0, 0.33, 0, 0, 0, 0.33, 0, 0)"
vpaddd-ymm_ymm_ymm,0.3333333333333333,1,"(0.33, 0, 0.33, 0, 0, 0, 0.33, 0, 0)"
vpshufd-xmm_xmm_imd,1.0,1,"(0, 0, 0, 0, 0, 0, 1.0, 0, 0)"
vxorpd-xmm_xmm_xmm,0.25,1,"(0.25, 0, 0.25, 0, 0, 0, 0.25, 0.25, 0)"
vdivpd-ymm_ymm_ymm,8.0,14.0,"(1.0, 8.0, 0, 0, 0, 0, 0, 0, 0)"
vdivps-ymm_ymm_ymm,5.0,11.0,"(1.0, 5.0, 0, 0, 0, 0, 0, 0, 0)"
vdivpd-xmm_xmm_xmm,4.0,13,"(1.0, 4.0, 0, 0, 0, 0, 0, 0, 0)"
vdivsd-xmm_xmm_xmm,4.0,13,"(1.0, 4.0, 0, 0, 0, 0, 0, 0, 0)"
